,MagpieData mean Number,MagpieData mean MendeleevNumber,MagpieData mean AtomicWeight,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean GSvolume_pa,Ion NumberofNeutrons,Ion Specific Heat,Ion Density,Ion AtomicRadius,Ion Firstlonization,Ion Melting Point,Adsorption energy(ev)
0,10.571428571428571,64.71428571428571,23.216516114285714,86.28571428571429,2.8414285714285716,1.3012244897959184,13.574523809514286,4,3.582,0.534,2.1,5.3917,453.85,-7.004905301
1,10.571428571428571,64.71428571428571,23.216516114285714,86.28571428571429,2.8414285714285716,1.3012244897959184,13.574523809514286,35,0.388,7.13,1.5,9.3942,692.88,0.395232218
2,10.571428571428571,64.71428571428571,23.216516114285714,86.28571428571429,2.8414285714285716,1.3012244897959184,13.574523809514286,20,0.757,0.862,2.8,4.3407,336.5,-6.580689236
3,10.571428571428571,64.71428571428571,23.216516114285714,86.28571428571429,2.8414285714285716,1.3012244897959184,13.574523809514286,12,1.228,0.971,2.2,5.1391,371.15,-5.557394705
4,10.571428571428571,64.71428571428571,23.216516114285714,86.28571428571429,2.8414285714285716,1.3012244897959184,13.574523809514286,14,0.897,2.7,1.8,5.9858,933.4,2.60843733
5,10.571428571428571,64.71428571428571,23.216516114285714,86.28571428571429,2.8414285714285716,1.3012244897959184,13.574523809514286,20,0.647,1.54,2.2,6.1132,1112.15,-4.458869904
6,10.571428571428571,64.71428571428571,23.216516114285714,86.28571428571429,2.8414285714285716,1.3012244897959184,13.574523809514286,12,1.023,1.74,1.7,7.6462,923.15,-2.617333558
7,10.571428571428571,64.71428571428571,23.216516114285714,86.28571428571429,2.8414285714285716,1.3012244897959184,13.574523809514286,10,0.824,0.0017,0.57,17.4228,53.63,-13.35827855
8,12.857142857142858,65.0,27.801878765714285,97.14285714285714,2.827142857142857,1.3175510204081633,17.1888095238,4,3.582,0.534,2.1,5.3917,453.85,-6.304996168
9,12.857142857142858,65.0,27.801878765714285,97.14285714285714,2.827142857142857,1.3175510204081633,17.1888095238,35,0.388,7.13,1.5,9.3942,692.88,0.779810172
10,12.857142857142858,65.0,27.801878765714285,97.14285714285714,2.827142857142857,1.3175510204081633,17.1888095238,20,0.757,0.862,2.8,4.3407,336.5,-4.859987159
11,12.857142857142858,65.0,27.801878765714285,97.14285714285714,2.827142857142857,1.3175510204081633,17.1888095238,12,1.228,0.971,2.2,5.1391,371.15,-4.392485732
12,12.857142857142858,65.0,27.801878765714285,97.14285714285714,2.827142857142857,1.3175510204081633,17.1888095238,14,0.897,2.7,1.8,5.9858,933.4,2.445059067
13,12.857142857142858,65.0,27.801878765714285,97.14285714285714,2.827142857142857,1.3175510204081633,17.1888095238,20,0.647,1.54,2.2,6.1132,1112.15,-4.034477
14,12.857142857142858,65.0,27.801878765714285,97.14285714285714,2.827142857142857,1.3175510204081633,17.1888095238,12,1.023,1.74,1.7,7.6462,923.15,-1.905821399
15,12.857142857142858,65.0,27.801878765714285,97.14285714285714,2.827142857142857,1.3175510204081633,17.1888095238,10,0.824,0.0017,0.57,17.4228,53.63,-11.40650088
16,15.142857142857142,65.28571428571429,32.40431611428571,107.71428571428571,2.795714285714286,1.353469387755102,29.721190476199997,4,3.582,0.534,2.1,5.3917,453.85,-5.17872263
