,MagpieData avg_dev MeltingT,MagpieData mean Row,MagpieData mean CovalentRadius,MagpieData mean Electronegativity,Ion Density,Ion Firstlonization,battery_A2,battery_X3,stable_X3,stable_X4,unstable_X1,solar_A1,solar_B,solar_X3,photo_B,photo_X4,adsorption_B,adsorption_X4,diffusion_A1,diffusion_X3,Adsorption energy(ev)
0,162.1534694,3.142857143,115.7142857,2.418571429,2.7,5.9858,0.43290132,0.22026594,0.2931677,0.2931677,0.1536212,0.21909729,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.18140548,0.12320607,0
1,278.2146939,2.714285714,103.5714286,2.71,2.7,5.9858,0.43290132,0.22026594,0.2931677,0.2931677,0.1536212,0.21909729,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.18140548,0.12320607,0
2,162.1534694,3.142857143,115.7142857,2.418571429,7.13,9.3942,0.43290132,0.22026594,0.2931677,0.2931677,0.1536212,0.21909729,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.18140548,0.12320607,0
3,219.9983673,2.571428571,90.0,2.887142857,2.7,5.9858,0.43290132,0.22026594,0.2931677,0.2931677,0.1536212,0.21909729,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.18140548,0.12320607,0
4,192.955102,2.857142857,100.8571429,2.872857143,2.7,5.9858,0.43290132,0.22026594,0.2931677,0.2931677,0.1536212,0.21909729,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.18140548,0.12320607,0
5,278.2146939,2.714285714,103.5714286,2.71,7.13,9.3942,0.43290132,0.22026594,0.2931677,0.2931677,0.1536212,0.21909729,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.18140548,0.12320607,0
6,252.5404082,3.142857143,120.5714286,2.561428571,2.7,5.9858,0.43290132,0.22026594,0.2931677,0.2931677,0.1536212,0.21909729,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.18140548,0.12320607,0
7,135.1102041,3.428571429,126.5714286,2.404285714,2.7,5.9858,0.43290132,0.22026594,0.2931677,0.2931677,0.1536212,0.21909729,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.18140548,0.12320607,0
8,181.7420408,3.142857143,111.4285714,2.841428571,2.7,5.9858,0.14843634,0.22026594,0.2931677,0.2931677,0.1536212,0.10219698,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.11237182,0.12320607,0
9,253.762449,3.428571429,121.5714286,2.65,7.13,9.3942,0.14843634,0.22026594,0.2931677,0.2931677,0.1536212,0.10219698,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.11237182,0.12320607,0
10,253.762449,3.428571429,121.5714286,2.65,2.7,5.9858,0.14843634,0.22026594,0.2931677,0.2931677,0.1536212,0.10219698,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.11237182,0.12320607,0
11,146.5567347,3.0,114.7142857,2.365714286,7.13,9.3942,0.14843634,0.22026594,0.2931677,0.2931677,0.1536212,0.10219698,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.11237182,0.12320607,0
12,204.4016327,2.428571429,89.0,2.834285714,2.7,5.9858,0.14843634,0.22026594,0.2931677,0.2931677,0.1536212,0.10219698,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.11237182,0.12320607,0
13,204.4016327,2.428571429,89.0,2.834285714,7.13,9.3942,0.14843634,0.22026594,0.2931677,0.2931677,0.1536212,0.10219698,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.11237182,0.12320607,0
14,123.8971429,3.714285714,137.1428571,2.372857143,2.7,5.9858,0.14843634,0.22026594,0.2931677,0.2931677,0.1536212,0.10219698,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.11237182,0.12320607,0
15,173.882449,3.428571429,116.2857143,2.841428571,2.7,5.9858,0.14843634,0.22026594,0.2931677,0.2931677,0.1536212,0.10219698,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.11237182,0.12320607,0
16,216.237551,3.428571429,122.2857143,2.258571429,7.13,9.3942,0.08641252,0.22026594,0.2931677,0.2931677,0.1536212,0.11160606,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.24055302,0.12320607,0
17,135.0220408,3.142857143,117.2857143,2.337142857,7.13,9.3942,0.08641252,0.22026594,0.2931677,0.2931677,0.1536212,0.11160606,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.24055302,0.12320607,0
18,261.8742857,2.857142857,112.0,2.372857143,7.13,9.3942,0.08641252,0.22026594,0.2931677,0.2931677,0.1536212,0.11160606,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.24055302,0.12320607,0
19,171.2302041,3.857142857,128.0,2.652857143,2.7,5.9858,0.08641252,0.22026594,0.2931677,0.2931677,0.1536212,0.11160606,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.24055302,0.12320607,0
20,146.5567347,3.0,114.7142857,2.365714286,2.7,5.9858,0.08641252,0.22026594,0.2931677,0.2931677,0.1536212,0.11160606,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.24055302,0.12320607,0
21,252.5404082,3.142857143,120.5714286,2.561428571,7.13,9.3942,0.08641252,0.22026594,0.2931677,0.2931677,0.1536212,0.11160606,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.24055302,0.12320607,0
22,162.1534694,3.142857143,115.7142857,2.418571429,1.74,7.6462,0.08641252,0.22026594,0.2931677,0.2931677,0.1536212,0.11160606,0.21437244,0.14019172,0.27131838,0.15946218,0.12433383,0.17863989,0.24055302,0.12320607,0
